order_purchase_timestamp,num_sales
2016-09-04,2
2016-10-03,2
2016-10-04,15
2016-10-05,8
2016-10-06,5
2016-10-07,6
2016-10-08,13
2016-10-09,9
2016-10-10,9
2017-01-07,1
2017-01-08,2
2017-01-09,2
2017-01-10,1
2017-01-11,1
2017-01-12,5
2017-01-13,2
2017-01-14,9
2017-01-15,11
2017-01-16,5
2017-01-17,7
2017-01-18,7
2017-01-19,13
2017-01-20,11
2017-01-21,18
2017-01-22,9
2017-01-23,12
2017-01-24,6
2017-01-25,7
2017-01-26,14
2017-01-27,9
2017-01-28,2
2017-01-29,7
2017-01-30,6
2017-01-31,15
2017-02-01,7
2017-02-02,9
2017-02-03,10
2017-02-04,8
2017-02-05,15
2017-02-06,8
2017-02-07,13
2017-02-08,9
2017-02-09,8
2017-02-10,6
2017-02-11,9
2017-02-12,5
2017-02-13,12
2017-02-14,12
2017-02-15,12
2017-02-16,8
2017-02-17,9
2017-02-18,5
2017-02-19,7
2017-02-20,8
2017-02-21,4
2017-02-22,14
2017-02-23,13
2017-02-24,9
2017-02-25,12
2017-02-26,13
2017-02-27,13
2017-02-28,8
2017-03-01,18
2017-03-02,16
2017-03-03,18
2017-03-04,20
2017-03-05,14
2017-03-06,19
2017-03-07,7
2017-03-08,7
2017-03-09,16
2017-03-10,10
2017-03-11,2
2017-03-12,8
2017-03-13,17
2017-03-14,11
2017-03-15,12
2017-03-16,7
2017-03-17,13
2017-03-18,5
2017-03-19,9
2017-03-20,10
2017-03-21,9
2017-03-22,11
2017-03-23,9
2017-03-24,6
2017-03-25,11
2017-03-26,8
2017-03-27,13
2017-03-28,8
2017-03-29,7
2017-03-30,5
2017-03-31,2
2017-04-01,4
2017-04-02,5
2017-04-03,7
2017-04-04,8
2017-04-05,9
2017-04-06,9
2017-04-07,4
2017-04-08,7
2017-04-09,7
2017-04-10,11
2017-04-11,6
2017-04-12,1
2017-04-13,3
2017-04-14,4
2017-04-15,2
2017-04-16,4
2017-04-17,5
2017-04-18,3
2017-04-19,11
2017-04-20,13
2017-04-21,14
2017-04-22,8
2017-04-23,4
2017-04-24,12
2017-04-25,9
2017-04-26,7
2017-04-27,2
2017-04-28,9
2017-04-29,6
2017-04-30,9
2017-05-01,15
2017-05-02,6
2017-05-03,7
2017-05-04,5
2017-05-05,9
2017-05-06,10
2017-05-07,12
2017-05-08,11
2017-05-09,5
2017-05-10,4
2017-05-11,8
2017-05-12,11
2017-05-13,12
2017-05-14,7
2017-05-15,17
2017-05-16,9
2017-05-17,13
2017-05-18,5
2017-05-19,21
2017-05-20,3
2017-05-21,9
2017-05-22,9
2017-05-23,12
2017-05-24,7
2017-05-25,5
2017-05-26,6
2017-05-27,4
2017-05-28,6
2017-05-29,13
2017-05-30,13
2017-05-31,5
2017-06-01,6
2017-06-02,6
2017-06-03,6
2017-06-04,9
2017-06-05,14
2017-06-06,10
2017-06-07,3
2017-06-08,2
2017-06-09,25
2017-06-10,3
2017-06-11,6
2017-06-12,4
2017-06-13,15
2017-06-14,9
2017-06-15,5
2017-06-16,2
2017-06-17,3
2017-06-18,5
2017-06-19,14
2017-06-20,14
2017-06-21,1
2017-06-22,8
2017-06-23,5
2017-06-24,5
2017-06-25,10
2017-06-26,5
2017-06-27,8
2017-06-28,13
2017-06-29,9
2017-06-30,8
2017-07-01,9
2017-07-02,13
2017-07-03,12
2017-07-04,11
2017-07-05,15
2017-07-06,8
2017-07-07,11
2017-07-08,8
2017-07-09,12
2017-07-10,7
2017-07-11,17
2017-07-12,11
2017-07-13,9
2017-07-14,5
2017-07-15,10
2017-07-16,8
2017-07-17,14
2017-07-18,12
2017-07-19,6
2017-07-20,9
2017-07-21,4
2017-07-22,7
2017-07-23,6
2017-07-24,8
2017-07-25,7
2017-07-26,11
2017-07-27,9
2017-07-28,19
2017-07-29,13
2017-07-30,17
2017-07-31,12
2017-08-01,16
2017-08-02,11
2017-08-03,19
2017-08-04,15
2017-08-05,10
2017-08-06,23
2017-08-07,17
2017-08-08,13
2017-08-09,10
2017-08-10,10
2017-08-11,14
2017-08-12,9
2017-08-13,5
2017-08-14,15
2017-08-15,18
2017-08-16,13
2017-08-17,11
2017-08-18,13
2017-08-19,10
2017-08-20,20
2017-08-21,22
2017-08-22,20
2017-08-23,20
2017-08-24,11
2017-08-25,10
2017-08-26,8
2017-08-27,14
2017-08-28,16
2017-08-29,20
2017-08-30,11
2017-08-31,12
2017-09-01,25
2017-09-02,9
2017-09-03,5
2017-09-04,14
2017-09-05,13
2017-09-06,12
2017-09-07,12
2017-09-08,9
2017-09-09,17
2017-09-10,10
2017-09-11,12
2017-09-12,17
2017-09-13,8
2017-09-14,16
2017-09-15,9
2017-09-16,6
2017-09-17,9
2017-09-18,8
2017-09-19,18
2017-09-20,21
2017-09-21,17
2017-09-22,8
2017-09-23,10
2017-09-24,8
2017-09-25,12
2017-09-26,18
2017-09-27,9
2017-09-28,6
2017-09-29,4
2017-09-30,6
2017-10-01,8
2017-10-02,4
2017-10-03,17
2017-10-04,10
2017-10-05,9
2017-10-06,9
2017-10-07,10
2017-10-08,9
2017-10-09,10
2017-10-10,9
2017-10-11,11
2017-10-12,10
2017-10-13,10
2017-10-14,19
2017-10-15,8
2017-10-16,18
2017-10-17,22
2017-10-18,17
2017-10-19,10
2017-10-20,9
2017-10-21,9
2017-10-22,15
2017-10-23,19
2017-10-24,11
2017-10-25,9
2017-10-26,16
2017-10-27,14
2017-10-28,7
2017-10-29,21
2017-10-30,13
2017-10-31,16
2017-11-01,3
2017-11-02,12
2017-11-03,11
2017-11-04,6
2017-11-05,11
2017-11-06,22
2017-11-07,9
2017-11-08,24
2017-11-09,13
2017-11-10,23
2017-11-11,10
2017-11-12,14
2017-11-13,15
2017-11-14,36
2017-11-15,15
2017-11-16,25
2017-11-17,23
2017-11-18,13
2017-11-19,18
2017-11-20,20
2017-11-21,23
2017-11-22,16
2017-11-23,46
2017-11-24,136
2017-11-25,69
2017-11-26,46
2017-11-27,44
2017-11-28,32
2017-11-29,24
2017-11-30,24
2017-12-01,29
2017-12-02,16
2017-12-03,9
2017-12-04,30
2017-12-05,22
2017-12-06,13
2017-12-07,15
2017-12-08,16
2017-12-09,9
2017-12-10,4
2017-12-11,9
2017-12-12,32
2017-12-13,9
2017-12-14,8
2017-12-15,13
2017-12-16,7
2017-12-17,17
2017-12-18,5
2017-12-19,17
2017-12-20,6
2017-12-21,15
2017-12-22,5
2017-12-23,9
2017-12-24,9
2017-12-25,11
2017-12-26,17
2017-12-27,8
2017-12-28,7
2017-12-29,9
2017-12-30,8
2017-12-31,6
2018-01-01,3
2018-01-02,10
2018-01-03,19
2018-01-04,30
2018-01-05,24
2018-01-06,37
2018-01-07,21
2018-01-08,28
2018-01-09,15
2018-01-10,21
2018-01-11,18
2018-01-12,31
2018-01-13,19
2018-01-14,21
2018-01-15,37
2018-01-16,34
2018-01-17,23
2018-01-18,29
2018-01-19,17
2018-01-20,16
2018-01-21,19
2018-01-22,18
2018-01-23,25
2018-01-24,15
2018-01-25,16
2018-01-26,13
2018-01-27,5
2018-01-28,14
2018-01-29,18
2018-01-30,6
2018-01-31,10
2018-02-01,10
2018-02-02,16
2018-02-03,6
2018-02-04,13
2018-02-05,22
2018-02-06,15
2018-02-07,6
2018-02-08,9
2018-02-09,4
2018-02-10,7
2018-02-11,7
2018-02-12,9
2018-02-13,16
2018-02-14,28
2018-02-15,24
2018-02-16,17
2018-02-17,18
2018-02-18,10
2018-02-19,17
2018-02-20,16
2018-02-21,24
2018-02-22,33
2018-02-23,20
2018-02-24,11
2018-02-25,10
2018-02-26,25
2018-02-27,16
2018-02-28,25
2018-03-01,29
2018-03-02,21
2018-03-03,17
2018-03-04,19
2018-03-05,21
2018-03-06,33
2018-03-07,17
2018-03-08,35
2018-03-09,24
2018-03-10,11
2018-03-11,15
2018-03-12,14
2018-03-13,17
2018-03-14,11
2018-03-15,30
2018-03-16,21
2018-03-17,7
2018-03-18,14
2018-03-19,22
2018-03-20,30
2018-03-21,25
2018-03-22,15
2018-03-23,14
2018-03-24,11
2018-03-25,13
2018-03-26,24
2018-03-27,23
2018-03-28,17
2018-03-29,20
2018-03-30,18
2018-03-31,7
2018-04-01,16
2018-04-02,34
2018-04-03,15
2018-04-04,19
2018-04-05,23
2018-04-06,15
2018-04-07,8
2018-04-08,27
2018-04-09,18
2018-04-10,18
2018-04-11,18
2018-04-12,24
2018-04-13,11
2018-04-14,10
2018-04-15,22
2018-04-16,31
2018-04-17,21
2018-04-18,27
2018-04-19,31
2018-04-20,17
2018-04-21,16
2018-04-22,25
2018-04-23,29
2018-04-24,24
2018-04-25,12
2018-04-26,20
2018-04-27,19
2018-04-28,9
2018-04-29,18
2018-04-30,17
2018-05-01,18
2018-05-02,19
2018-05-03,31
2018-05-04,20
2018-05-05,17
2018-05-06,19
2018-05-07,26
2018-05-08,31
2018-05-09,35
2018-05-10,31
2018-05-11,21
2018-05-12,16
2018-05-13,16
2018-05-14,19
2018-05-15,39
2018-05-16,35
2018-05-17,26
2018-05-18,24
2018-05-19,11
2018-05-20,22
2018-05-21,22
2018-05-22,18
2018-05-23,9
2018-05-24,5
2018-05-25,13
2018-05-26,8
2018-05-27,9
2018-05-28,13
2018-05-29,19
2018-05-30,5
2018-05-31,8
2018-06-01,13
2018-06-02,13
2018-06-03,17
2018-06-04,8
2018-06-05,17
2018-06-06,9
2018-06-07,10
2018-06-08,8
2018-06-09,13
2018-06-10,3
2018-06-11,21
2018-06-12,15
2018-06-13,15
2018-06-14,12
2018-06-15,17
2018-06-16,9
2018-06-17,11
2018-06-18,19
2018-06-19,13
2018-06-20,10
2018-06-21,13
2018-06-22,10
2018-06-23,11
2018-06-24,11
2018-06-25,16
2018-06-26,22
2018-06-27,24
2018-06-28,21
2018-06-29,13
2018-06-30,11
2018-07-01,13
2018-07-02,23
2018-07-03,7
2018-07-04,19
2018-07-05,19
2018-07-06,15
2018-07-07,2
2018-07-08,5
2018-07-09,5
2018-07-10,6
2018-07-11,4
2018-07-12,7
2018-07-13,9
2018-07-14,6
2018-07-15,6
2018-07-16,13
2018-07-17,9
2018-07-18,19
2018-07-19,25
2018-07-20,31
2018-07-21,12
2018-07-22,8
2018-07-23,24
2018-07-24,28
2018-07-25,14
2018-07-26,16
2018-07-27,14
2018-07-28,19
2018-07-29,16
2018-07-30,15
2018-07-31,31
2018-08-01,34
2018-08-02,14
2018-08-03,21
2018-08-04,17
2018-08-05,15
2018-08-06,27
2018-08-07,19
2018-08-08,21
2018-08-09,21
2018-08-10,17
2018-08-11,14
2018-08-12,26
2018-08-13,17
2018-08-14,27
2018-08-15,14
2018-08-16,26
2018-08-17,17
2018-08-18,12
2018-08-19,12
2018-08-20,20
2018-08-21,16
2018-08-22,9
2018-08-23,6
2018-08-24,4
2018-08-25,2
2018-08-26,3
2018-08-28,2
