region,year,P,R
Adelaide Hills,2001,1597.0,2619.0
Barossa Valley,2001,1922.0,39537.0
Bendigo,2001,1444.0,2651.0
Blackwood Valley,2001,1474.0,1127.0
Canberra District,2001,1579.0,210.0
Central Ranges - other,2001,1300.0,269.0
Central Victoria - other,2001,1444.0,2564.0
Clare Valley,2001,1696.0,12198.0
Coonawarra,2001,1711.0,20364.0
Cowra,2001,1156.0,3764.0
Eden Valley,2001,2075.0,5387.0
Geographe,2001,1510.0,1291.0
Gippsland,2001,1094.0,97.0
Goulburn Valley,2001,1444.0,3731.0
Granite Belt,2001,1068.0,264.0
Great Southern,2001,1605.0,5330.0
Hunter Valley,2001,1567.0,6181.0
Langhorne Creek,2001,1437.0,25166.0
Limestone Coast - other,2001,1567.0,3794.0
Margaret River,2001,1635.0,7006.0
McLaren Vale,2001,1901.0,43060.0
Mornington Peninsula,2001,1840.0,247.0
Mudgee,2001,1270.0,6610.0
Murray Darling - Swan Hill (NSW),2001,736.0,9577.0
Murray Darling - Swan Hill (Vic),2001,736.0,23074.0
North East Victoria - other,2001,1191.0,2445.0
Orange,2001,1363.0,3824.0
Padthaway,2001,1776.0,15091.0
Perth Hills,2001,1201.0,294.0
Port Phillip - other,2001,1784.0,74.0
Qld - other,2001,1068.0,188.0
Riverina,2001,593.0,19832.0
Riverland,2001,812.0,69334.0
Rutherglen,2001,1355.0,2534.0
SA - other,2001,1284.0,3849.0
South Burnett,2001,1068.0,216.0
Southern New South Wales - other,2001,1427.0,2738.0
Swan District,2001,1128.0,792.0
WA - other,2001,1550.0,1981.0
Western Victoria - other,2001,1492.0,185.0
Wrattonbully,2001,1496.0,5541.0
Yarra Valley,2001,1860.0,1964.0
Adelaide Hills,2002,1805.0,1489.0
Adelaide Plains,2002,1414.0,3013.0
Barossa Valley,2002,1959.0,39529.0
Bendigo,2002,1717.0,2583.0
Blackwood Valley,2002,1485.0,1830.0
Canberra District,2002,1685.0,487.0
Central Ranges - other,2002,1584.0,86.0
Central Victoria - other,2002,1717.0,2847.0
Clare Valley,2002,1696.0,14248.0
Coonawarra,2002,1799.0,8750.0
Cowra,2002,1166.0,2474.0
Eden Valley,2002,2029.0,4379.0
Fleurieu - other,2002,1577.0,2694.0
Geographe,2002,1176.0,1526.0
Gippsland,2002,1921.0,23.0
Goulburn Valley,2002,1717.0,2521.0
Granite Belt,2002,1087.0,623.0
Great Southern,2002,1517.0,5607.0
Hunter Valley,2002,1329.0,6026.0
Langhorne Creek,2002,1451.0,21962.0
Limestone Coast - other,2002,1332.0,4975.0
Margaret River,2002,1457.0,7233.0
McLaren Vale,2002,1907.0,40859.0
Mornington Peninsula,2002,2114.0,43.0
Mudgee,2002,1461.0,7724.0
Murray Darling - Swan Hill (NSW),2002,802.0,13871.0
Murray Darling - Swan Hill (Vic),2002,802.0,29559.0
North East Victoria - other,2002,1042.0,1543.0
Orange,2002,1633.0,3952.0
Padthaway,2002,1728.0,8168.0
Perth Hills,2002,1109.0,465.0
Port Phillip - other,2002,1360.0,442.0
Qld - other,2002,1087.0,202.0
Riverina,2002,504.0,20372.0
Riverland,2002,876.0,92095.0
Rutherglen,2002,1336.0,3385.0
SA - other,2002,1414.0,2698.0
South Burnett,2002,1087.0,400.0
Southern New South Wales - other,2002,1437.0,3041.0
Swan District,2002,901.0,632.0
WA - other,2002,324.0,366.0
Western Victoria - other,2002,1613.0,93.0
Wrattonbully,2002,1587.0,3991.0
Yarra Valley,2002,1761.0,1162.0
Adelaide Hills,2003,1680.0,2770.0
Adelaide Plains,2003,1327.0,2309.0
Alpine Valleys,2003,977.0,1055.0
Barossa Valley,2003,1748.0,33957.0
Bendigo,2003,1411.0,1811.0
Big Rivers - other,2003,784.0,717.0
Blackwood Valley,2003,1300.0,1466.0
Canberra District,2003,1710.0,416.0
Central Ranges - other,2003,1462.0,578.0
Central Victoria - other,2003,1632.0,2167.0
Clare Valley,2003,1664.0,10485.0
Coonawarra,2003,1858.0,10461.0
Cowra,2003,1226.0,3716.0
Eden Valley,2003,1869.0,4390.0
Fleurieu - other,2003,1809.0,5299.0
Geographe,2003,1122.0,1363.0
Gippsland,2003,1319.0,68.0
Goulburn Valley,2003,1171.0,1563.0
Granite Belt,2003,1142.0,273.0
Great Southern,2003,1517.0,7311.0
Hunter Valley,2003,1409.0,5939.0
Langhorne Creek,2003,1455.0,23504.0
Limestone Coast - other,2003,1311.0,5227.0
Margaret River,2003,1553.0,7094.0
McLaren Vale,2003,1805.0,34387.0
Mornington Peninsula,2003,2000.0,144.0
Mudgee,2003,1386.0,9221.0
Murray Darling - Swan Hill (NSW),2003,657.0,10551.0
Murray Darling - Swan Hill (Vic),2003,657.0,21667.0
North East Victoria - other,2003,1092.0,1404.0
Northern Rivers - other,2003,992.0,8.0
Northern Slopes,2003,1001.0,360.0
Orange,2003,1690.0,6507.0
Padthaway,2003,1543.0,9443.0
Peel,2003,1100.0,5.0
Perth Hills,2003,894.0,240.0
Port Phillip - other,2003,1753.0,362.0
Qld - other,2003,1087.0,162.0
Riverina,2003,466.0,20232.0
Riverland,2003,651.0,58962.0
Rutherglen,2003,1454.0,2932.0
South Burnett,2003,650.0,327.0
South Coast - other,2003,300.0,6.0
Southern New South Wales - other,2003,1420.0,1147.0
Swan District,2003,890.0,753.0
WA - other,2003,870.0,419.0
Western Plains,2003,660.0,432.0
Western Victoria - other,2003,1614.0,222.0
Wrattonbully,2003,1585.0,6069.0
Yarra Valley,2003,1627.0,1618.0
Adelaide Hills,2004,1673.0,5044.0
Adelaide Plains,2004,845.0,2078.0
Alpine Valleys,2004,774.0,1107.0
Barossa Valley,2004,1463.0,45565.0
Bendigo,2004,1765.0,3183.0
Big Rivers - other,2004,853.0,876.0
Canberra District,2004,1739.0,752.0
Central Ranges - other,2004,1263.0,179.0
Central Victoria - other,2004,1458.0,507.0
Clare Valley,2004,1482.0,17946.0
Coonawarra,2004,890.0,10785.0
Cowra,2004,1101.0,3507.0
Eden Valley,2004,1436.0,5972.0
Fleurieu - other,2004,1288.0,5517.0
Gippsland,2004,2000.0,143.0
Glenrowan,2004,1126.0,1018.0
Goulburn Valley,2004,1160.0,2505.0
Granite Belt,2004,882.0,515.0
Hunter Valley,2004,1063.0,5950.0
Langhorne Creek,2004,1225.0,25440.0
Limestone Coast - other,2004,908.0,6872.0
McLaren Vale,2004,1488.0,50245.0
Mornington Peninsula,2004,1744.0,1159.0
Mudgee,2004,1222.0,8882.0
Murray Darling - Swan Hill (NSW),2004,620.0,11577.0
Murray Darling - Swan Hill (Vic),2004,620.0,25704.0
North East Victoria - other,2004,1267.0,1960.0
Northern Slopes,2004,1388.0,836.0
Orange,2004,1271.0,5152.0
Padthaway,2004,1061.0,14652.0
Port Phillip - other,2004,1771.0,79.0
Qld - other,2004,793.0,131.0
Riverina,2004,457.0,25474.0
Riverland,2004,584.0,66202.0
Rutherglen,2004,1126.0,3431.0
South Coast - other,2004,1909.0,74.0
Southern New South Wales - other,2004,1518.0,2452.0
Tas,2004,2200.0,21.0
Western Plains,2004,524.0,916.0
Western Victoria - other,2004,1744.0,410.0
Wrattonbully,2004,1200.0,8558.0
Yarra Valley,2004,1784.0,3653.0
Adelaide Hills,2005,1730.0,3017.0
Adelaide Plains,2005,777.0,1789.0
Alpine Valleys,2005,638.0,700.0
Barossa Valley,2005,1304.0,47682.0
Bendigo,2005,1064.0,1978.0
Big Rivers - other,2005,738.0,600.0
Blackwood Valley,2005,980.0,1052.0
Canberra District,2005,1769.0,757.0
Central Ranges - other,2005,763.0,137.0
Central Victoria - other,2005,632.0,504.0
Clare Valley,2005,1337.0,13867.0
Coonawarra,2005,824.0,7035.0
Cowra,2005,933.0,5800.0
Eden Valley,2005,1273.0,5229.0
Fleurieu - other,2005,1039.0,4117.0
Geographe,2005,938.0,1229.0
Gippsland,2005,1208.0,98.0
Glenrowan,2005,1177.0,905.0
Goulburn Valley,2005,874.0,1809.0
Grampians,2005,1642.0,3178.0
Granite Belt,2005,803.0,419.0
Great Southern,2005,1325.0,5269.0
Heathcote,2005,1430.0,4195.0
Hunter Valley,2005,774.0,3547.0
Langhorne Creek,2005,1147.0,23070.0
Limestone Coast - other,2005,933.0,5119.0
Macedon Ranges,2005,1455.0,70.0
Margaret River,2005,1398.0,9607.0
McLaren Vale,2005,1376.0,40826.0
Mornington Peninsula,2005,1515.0,368.0
Mudgee,2005,853.0,7547.0
Murray Darling - Swan Hill (NSW),2005,524.0,11480.0
Murray Darling - Swan Hill (Vic),2005,524.0,22758.0
North East Victoria - other,2005,545.0,1026.0
Northern Slopes,2005,1270.0,781.0
Orange,2005,1161.0,1584.0
Padthaway,2005,1032.0,9072.0
Peel,2005,723.0,9.0
Perth Hills,2005,1036.0,545.0
Port Phillip - other,2005,1349.0,67.0
Pyrenees,2005,1813.0,2381.0
Qld - other,2005,934.0,208.0
Riverina,2005,439.0,19740.0
Riverland,2005,527.0,61194.0
Rutherglen,2005,1177.0,3540.0
South Burnett,2005,1200.0,604.0
South Coast - other,2005,1500.0,24.0
Southern New South Wales - other,2005,1155.0,1246.0
Swan District,2005,799.0,1141.0
WA - other,2005,1503.0,760.0
Western Plains,2005,544.0,944.0
Western Victoria - other,2005,679.0,41.0
Wrattonbully,2005,1151.0,5475.0
Yarra Valley,2005,1645.0,2769.0
Adelaide Hills,2006,1456.0,2676.0
Adelaide Plains,2006,664.0,1019.0
Alpine Valleys,2006,1057.0,884.0
Barossa Valley,2006,1175.0,41668.0
Bendigo,2006,1098.0,1746.0
Big Rivers - other,2006,543.0,441.0
Blackwood Valley,2006,1072.0,745.0
Canberra District,2006,1882.0,865.0
Central Ranges - other,2006,965.0,122.0
Central Victoria - other,2006,916.0,1029.0
Clare Valley,2006,1207.0,14457.0
Coonawarra,2006,771.0,6212.0
Cowra,2006,655.0,2285.0
Eden Valley,2006,1225.0,4045.0
Fleurieu - other,2006,932.0,4542.0
Geographe,2006,965.0,1013.0
Gippsland,2006,1300.0,161.0
Goulburn Valley,2006,759.0,2972.0
Granite Belt,2006,924.0,482.0
Great Southern,2006,1095.0,1914.0
Heathcote,2006,1280.0,2180.0
Hunter Valley,2006,956.0,4659.0
Langhorne Creek,2006,1077.0,25528.0
Limestone Coast - other,2006,878.0,7812.0
Macedon Ranges,2006,1446.0,51.0
Margaret River,2006,1507.0,7028.0
McLaren Vale,2006,1204.0,35508.0
Mornington Peninsula,2006,1200.0,220.0
Mudgee,2006,839.0,6866.0
Murray Darling - Swan Hill (NSW),2006,399.0,9097.0
Murray Darling - Swan Hill (Vic),2006,399.0,17069.0
North East Victoria - other,2006,927.0,1059.0
Northern Rivers - other,2006,500.0,2.0
Northern Slopes,2006,500.0,227.0
Orange,2006,819.0,2163.0
Padthaway,2006,983.0,11104.0
Peel,2006,1000.0,19.0
Perth Hills,2006,1000.0,490.0
Port Phillip - other,2006,1397.0,29.0
Pyrenees,2006,1888.0,1908.0
Qld - other,2006,1000.0,104.0
Riverina,2006,386.0,20299.0
Riverland,2006,425.0,44512.0
South Burnett,2006,815.0,453.0
South Coast - other,2006,1650.0,19.0
Southern New South Wales - other,2006,990.0,69.0
Swan District,2006,788.0,837.0
WA - other,2006,700.0,226.0
Western Plains,2006,331.0,109.0
Western Victoria - other,2006,1342.0,860.0
Wrattonbully,2006,1030.0,6782.0
Yarra Valley,2006,1643.0,3154.0
Adelaide Hills,2007,1600.0,2643.0
Adelaide Plains,2007,834.0,977.0
Barossa Valley,2007,1522.0,23014.0
Bendigo,2007,1169.0,2028.0
Big Rivers - other,2007,588.0,360.0
Blackwood Valley,2007,897.0,508.0
Canberra District,2007,1021.0,243.0
Central Ranges - other,2007,672.0,258.0
Central Victoria - other,2007,899.0,134.0
Clare Valley,2007,1361.0,6182.0
Coonawarra,2007,1169.0,4157.0
Cowra,2007,712.0,3173.0
Eden Valley,2007,1576.0,2804.0
Fleurieu - other,2007,1113.0,3821.0
Geographe,2007,1108.0,1858.0
Gippsland,2007,1574.0,123.0
Granite Belt,2007,953.0,212.0
Great Southern,2007,1028.0,3183.0
Heathcote,2007,1221.0,3693.0
Hunter Valley,2007,1065.0,3732.0
Langhorne Creek,2007,1170.0,14741.0
Limestone Coast - other,2007,1039.0,3381.0
Margaret River,2007,1459.0,8402.0
McLaren Vale,2007,1495.0,22838.0
Mornington Peninsula,2007,1944.0,292.0
Mudgee,2007,661.0,2977.0
Murray Darling - Swan Hill (NSW),2007,424.0,7891.0
Murray Darling - Swan Hill (Vic),2007,424.0,14431.0
North East Victoria - other,2007,465.0,347.0
Northern Rivers - other,2007,800.0,4.0
Northern Slopes,2007,1200.0,457.0
Orange,2007,1005.0,1170.0
Padthaway,2007,1161.0,7425.0
Peel,2007,800.0,17.0
Perth Hills,2007,676.0,323.0
Port Phillip - other,2007,1579.0,12.0
Qld - other,2007,839.0,56.0
Riverina,2007,424.0,17059.0
Riverland,2007,391.0,26556.0
Rutherglen,2007,954.0,1789.0
South Burnett,2007,657.0,52.0
South Coast - other,2007,1287.0,48.0
Southern New South Wales - other,2007,946.0,22.0
Swan District,2007,803.0,824.0
Tas,2007,2200.0,2.0
WA - other,2007,872.0,77.0
Western Plains,2007,371.0,267.0
Western Victoria - other,2007,1508.0,380.0
Wrattonbully,2007,1248.0,2703.0
Yarra Valley,2007,1967.0,2454.0
Adelaide Hills,2008,1699.0,3208.0
Adelaide Plains,2008,983.0,1817.0
Alpine Valleys,2008,980.0,832.0
Barossa Valley,2008,1736.0,53281.0
Bendigo,2008,1270.0,5091.0
Big Rivers - other,2008,720.0,467.0
Blackwood Valley,2008,1038.0,764.0
Canberra District,2008,1817.0,1640.0
Central Ranges - other,2008,856.0,418.0
Central Victoria - other,2008,998.0,258.0
Clare Valley,2008,1546.0,10763.0
Coonawarra,2008,1356.0,14071.0
Cowra,2008,731.0,3714.0
Eden Valley,2008,1698.0,5970.0
Fleurieu - other,2008,1461.0,9568.0
Geographe,2008,1016.0,1522.0
Gippsland,2008,1200.0,135.0
Granite Belt,2008,989.0,466.0
Great Southern,2008,1112.0,5421.0
Heathcote,2008,1431.0,8162.0
Hunter Valley,2008,1115.0,5688.0
Langhorne Creek,2008,1234.0,27020.0
Limestone Coast - other,2008,1231.0,8910.0
Macedon Ranges,2008,2000.0,96.0
Margaret River,2008,1375.0,8005.0
McLaren Vale,2008,1915.0,55121.0
Mornington Peninsula,2008,1404.0,512.0
Mudgee,2008,702.0,4151.0
Murray Darling - Swan Hill (NSW),2008,642.0,15149.0
Murray Darling - Swan Hill (Vic),2008,642.0,28678.0
North East Victoria - other,2008,854.0,680.0
Northern Rivers - other,2008,500.0,5.0
Northern Slopes,2008,500.0,190.0
Orange,2008,1012.0,3868.0
Padthaway,2008,1177.0,15556.0
Peel,2008,1250.0,28.0
Perth Hills,2008,816.0,435.0
Port Phillip - other,2008,1344.0,27.0
Pyrenees,2008,1865.0,1878.0
Qld - other,2008,900.0,85.0
Riverina,2008,562.0,33030.0
Riverland,2008,622.0,63649.0
SA - other,2008,1168.0,2265.0
South Burnett,2008,800.0,182.0
South Coast - other,2008,1500.0,27.0
Southern New South Wales - other,2008,1076.0,116.0
Swan District,2008,746.0,869.0
Upper Goulburn,2008,785.0,71.0
WA - other,2008,955.0,211.0
Western Plains,2008,587.0,671.0
Western Victoria - other,2008,2024.0,194.0
Wrattonbully,2008,1329.0,10265.0
Yarra Valley,2008,1989.0,3823.0
Adelaide Hills,2009,1689.0,1941.0
Adelaide Plains,2009,749.0,810.0
Barossa Valley,2009,1532.0,34331.0
Beechworth,2009,3268.0,79.0
Bendigo,2009,1085.0,1120.0
Big Rivers - other,2009,1207.0,1107.0
Blackwood Valley,2009,1135.0,176.0
Canberra District,2009,550.0,57.0
Central Ranges - other,2009,736.0,852.0
Central Victoria - other,2009,943.0,2591.0
Clare Valley,2009,1308.0,9826.0
Coonawarra,2009,988.0,6941.0
Cowra,2009,563.0,1266.0
Eden Valley,2009,1753.0,2922.0
Fleurieu - other,2009,875.0,4073.0
Geographe,2009,887.0,488.0
Goulburn Valley,2009,794.0,1341.0
Grampians,2009,1733.0,3581.0
Great Southern,2009,1199.0,1794.0
Gundagai,2009,963.0,1955.0
Heathcote,2009,1058.0,3146.0
Hilltops,2009,833.0,1101.0
Hunter Valley,2009,1298.0,939.0
Langhorne Creek,2009,928.0,13183.0
Limestone Coast - other,2009,1162.0,6826.0
Manjimup,2009,1250.0,415.0
Margaret River,2009,1469.0,2147.0
McLaren Vale,2009,1432.0,21199.0
Mornington Peninsula,2009,1000.0,3.0
Mudgee,2009,756.0,9595.0
Murray Darling - Swan Hill (NSW),2009,420.0,13631.0
Murray Darling - Swan Hill (Vic),2009,420.0,16660.0
North East Victoria - other,2009,879.0,1067.0
Orange,2009,744.0,1683.0
Padthaway,2009,1024.0,11003.0
Perricoota,2009,543.0,113.0
Pyrenees,2009,1600.0,97.0
Riverina,2009,396.0,25506.0
Riverland,2009,383.0,38707.0
Rutherglen,2009,881.0,3218.0
SA - other,2009,865.0,1188.0
Sunbury,2009,1345.0,102.0
Swan District,2009,650.0,456.0
Tumbarumba,2009,1200.0,5.0
Western Plains,2009,206.0,2008.0
Western Victoria - other,2009,1500.0,27.0
Wrattonbully,2009,1026.0,6104.0
Yarra Valley,2009,1029.0,535.0
Adelaide Hills,2010,1420.0,2107.0
Adelaide Plains,2010,705.0,1217.0
Barossa Valley,2010,1351.0,45387.0
Bendigo,2010,1056.0,1703.0
Clare Valley,2010,1142.0,8596.0
Coonawarra,2010,890.0,6452.0
Cowra,2010,597.0,773.0
Eden Valley,2010,1497.0,4331.0
Fleurieu - other,2010,711.0,2892.0
Goulburn Valley,2010,692.0,2277.0
Grampians,2010,1485.0,2867.0
Gundagai,2010,909.0,2210.0
Heathcote,2010,865.0,4037.0
Hunter Valley,2010,1105.0,3067.0
Langhorne Creek,2010,762.0,16007.0
Limestone Coast - other,2010,1069.0,5115.0
Margaret River,2010,1458.0,5325.0
McLaren Vale,2010,1345.0,32810.0
Mudgee,2010,527.0,1112.0
Murray Darling - Swan Hill (NSW),2010,299.0,6599.0
Murray Darling - Swan Hill (Vic),2010,299.0,11291.0
North East Victoria - other,2010,520.0,334.0
Orange,2010,659.0,1053.0
Padthaway,2010,858.0,9872.0
Riverina,2010,360.0,19533.0
Riverland,2010,305.0,26476.0
Rutherglen,2010,740.0,1900.0
SA - other,2010,887.0,2132.0
Wrattonbully,2010,889.0,5949.0
Yarra Valley,2010,1499.0,1795.0
Adelaide Hills,2011,1111.0,994.0
Adelaide Plains,2011,643.0,1047.0
Barossa Valley,2011,1213.0,34444.0
Bendigo,2011,932.0,170.0
Blackwood Valley,2011,1850.0,49.0
Central Ranges - other,2011,392.0,491.0
Central Victoria - other,2011,559.0,1098.0
Clare Valley,2011,1043.0,3913.0
Coonawarra,2011,644.0,2389.0
Cowra,2011,360.0,93.0
Eden Valley,2011,1192.0,2558.0
Fleurieu - other,2011,913.0,2444.0
Geelong,2011,1350.0,495.0
Geographe,2011,574.0,290.0
Goulburn Valley,2011,524.0,746.0
Grampians,2011,1396.0,1428.0
Great Southern,2011,979.0,1246.0
Gundagai,2011,200.0,19.0
Heathcote,2011,803.0,3087.0
Hilltops,2011,642.0,531.0
Hunter Valley,2011,1233.0,858.0
Langhorne Creek,2011,547.0,4497.0
Limestone Coast - other,2011,790.0,1500.0
Margaret River,2011,1319.0,1987.0
McLaren Vale,2011,1240.0,25611.0
